Graph Size,Configuration,Baseline Accuracy,FAGS Accuracy,Accuracy Gain,Baseline Nodes Visited,FAGS Nodes Visited,Additional Search Cost,Efficiency Ratio,p-value Accuracy,Gold Path Recovery Rate,Recovery Success Rate
Small,Top-1 Memory,5.10%,16.40%,11.30%,2.61,12.86,393.40%,0.029,5.85220e-21,0.25%,2.38%
Small,Top-2 Memory,5.10%,17.10%,12.00%,2.61,13.24,408.21%,0.029,1.03051e-23,0.12%,0.74%
Small,Threshold Memory (t=0.10),5.10%,15.50%,10.40%,2.61,12.82,391.90%,0.027,1.75556e-19,0.37%,1.90%
Small,Threshold Memory (t=0.20),5.10%,15.50%,10.40%,2.61,13.73,426.78%,0.024,5.88185e-19,0.49%,1.79%
Medium,Top-1 Memory,4.30%,8.90%,4.60%,3.18,28.45,795.69%,0.006,4.82789e-08,0.00%,0.00%
Medium,Top-2 Memory,4.30%,9.10%,4.80%,3.18,29.94,842.79%,0.006,6.59884e-08,0.12%,2.61%
Medium,Threshold Memory (t=0.10),4.30%,8.70%,4.40%,3.18,30.59,863.22%,0.005,1.81932e-07,0.00%,1.33%
Medium,Threshold Memory (t=0.20),4.30%,10.80%,6.50%,3.18,33.06,940.93%,0.007,5.58598e-12,0.12%,1.72%
Large,Top-1 Memory,8.80%,13.80%,5.00%,4.43,34.68,683.22%,0.007,2.12557e-07,0.99%,4.53%
Large,Top-2 Memory,8.80%,13.50%,4.70%,4.43,37.57,748.55%,0.006,2.61403e-06,0.85%,4.42%
Large,Threshold Memory (t=0.10),8.80%,14.30%,5.50%,4.43,34.83,686.54%,0.008,3.58371e-08,0.74%,2.83%
Large,Threshold Memory (t=0.20),8.80%,13.60%,4.80%,4.43,40.78,820.87%,0.006,6.42998e-07,1.16%,3.45%
