Graph Size,Algorithm,Param (width or budget),Accuracy,Mean Nodes
Medium,Beam,2,18.20%,11.12
Medium,Beam,3,22.40%,15.10
Medium,Beam,5,29.00%,21.27
Medium,Beam,8,38.80%,27.55
Medium,Beam,15,47.60%,37.18
Medium,Beam,25,57.40%,41.95
Medium,Beam,40,62.80%,45.30
Medium,Beam,60,70.00%,46.70
Medium,MCTS,10,16.20%,11.29
Medium,MCTS,20,26.00%,18.95
Medium,MCTS,40,43.00%,31.67
Medium,MCTS,80,73.00%,46.70
Medium,MCTS,160,76.00%,48.15
Medium,MCTS,320,76.00%,48.44
Medium,MCTS,640,76.00%,48.15
Medium,MCTS,1280,76.00%,49.02
Large,Beam,2,16.20%,11.56
Large,Beam,3,21.20%,16.11
Large,Beam,5,23.40%,25.51
Large,Beam,8,25.00%,39.07
Large,Beam,15,28.40%,68.23
Large,Beam,25,32.00%,102.40
Large,Beam,40,40.20%,139.72
Large,Beam,60,42.00%,186.02
Large,Beam,80,52.60%,214.87
Large,Beam,110,56.60%,255.50
Large,Beam,150,65.60%,288.59
Large,Beam,200,73.20%,314.25
Large,Beam,260,75.40%,351.75
Large,Beam,350,82.80%,374.22
Large,MCTS,10,14.40%,11.69
Large,MCTS,20,16.60%,21.13
Large,MCTS,40,18.60%,36.23
Large,MCTS,80,25.40%,65.75
Large,MCTS,160,33.00%,125.79
Large,MCTS,320,52.00%,212.58
Large,MCTS,640,78.20%,317.56
Large,MCTS,1280,98.20%,371.80
