Graph Size,Beam Width,Beam Acc,Beam Nodes,MCTS Acc,MCTS Nodes,Best-First Acc (reference),MCTS - Beam Gain,p-value
Small,2,30.00%,5.29,28.10%,5.47,13.10%,-1.90%,8.412e-02
Small,3,34.70%,5.94,29.80%,5.92,14.60%,-4.90%,2.649e-05
Small,5,40.00%,6.71,29.80%,6.53,17.10%,-10.20%,2.871e-18
Small,8,42.30%,7.31,29.40%,7.08,18.10%,-12.90%,6.452e-28
Medium,2,17.50%,11.16,15.00%,12.27,8.80%,-2.50%,6.311e-02
Medium,3,23.70%,14.91,19.40%,15.54,9.40%,-4.30%,5.954e-03
Medium,5,30.40%,21.23,24.20%,20.92,11.20%,-6.20%,2.752e-04
Medium,8,37.00%,27.93,28.30%,26.05,13.60%,-8.70%,1.912e-06
Large,2,17.20%,11.50,13.00%,11.85,1.00%,-4.20%,6.851e-05
Large,3,21.40%,16.11,12.40%,16.49,1.70%,-9.00%,4.866e-15
Large,5,23.90%,25.29,14.60%,25.85,1.90%,-9.30%,2.264e-13
Large,8,27.40%,38.05,17.40%,38.37,4.10%,-10.00%,9.942e-16
